"","scientific_name.x","dispersal_km","Migration_km","mean.hra.m2","Mass_kg","class","order","diet_broadest_cat","media_simplified","media_dispersal","media_migration","media_foraging","source_dispersal","Migration_source","source_hra","dispersal_type","hr.radius","dispersal_source_type","foraging_source_type","migration_source_type","dispersal_year","foraging_year","migration_year"
"1","Ammodramus_savannarum",0.3461,1343.9,10900,0.0167,"Mammalia","Eulipotyphla","Invertivore","air","air","air","air","Anthony_etal_2013","Horton_2018","Mace_Harvey_1983","mean",0.0589031218137317,"single","db","db","2013","1983","2018"
"2","Cardellina_canadensis",0.5001,5217.1,10117.1,0.0093,"Aves","Passeriformes","Invertivore","air","air","air","air","Ball_etal_2016","Horton_2018","Schoener_1968","max? (up to)",0.0567483299270563,"single","db","db","2016","1968","2018"
"3","Falcipennis_canadensis",1.7301,3.98,227000,0.456,"Aves","Galliformes","Herbivore","land","land","land","land","Barrowclough_Schroeder_2016","Herzog_Keppie_1980","Lycke_et_al_2011","mean",0.268805402035972,"single","single","single","2016","2011","1980"
"4","Saxicola_rubetra",0.5001,6000,7300,0.01648,"Aves","Passeriformes","Invertivore","air","air","air","air","Bastian_1992","Moller_etal_2004","Tamburello_etal_2015","mean",0.0482043791490117,"single","db","db","1992","2015","2004"
"5","Megascops_asio",2.3001,0,485100,0.2021,"Aves","Strigiformes","Invertivore","air","air","","air","Belthoff_Ritchison_1989","IUCN","Belthoff_etal_1993","median",0.392953083443503,"single","single","db","1989","1993","IUCN"
"6","Setophaga_kirtlandii",2.2001,1900,33993.6,0.014,"Aves","Passeriformes","Invertivore","air","air","air","air","Berger_Radabaugh_1968","Hein_etal_2012","Schoener_1968","mean",0.104021627304024,"single","db","db","1968","1968","2012"
"7","Spiza_americana",0.1126,3533.9,8900,0.035,"Aves","Passeriformes","Omnivore","air","air","air","air","Berkley_etal_2007","Horton_2018","Mace_Harvey_1983","mean",0.0532255388609241,"single","db","db","2007","1983","2018"
"8","Pantherophis_obsoletus",0.8111,0.49,250000,0.6428,"Reptilia","Squamata","Carnivore","land","land","land","land","Blouin-Demers_Weatherhead_2002","Blouin-Demers_Weatherhead_2002","Ward_etal_2013","mean",0.282094791773878,"single","single","single","2002","2013","2002"
"9","Aythya_fuligula",0.2281,4500,380,0.66,"Aves","Anseriformes","Omnivore","","air","air","land_aquatic","Blums_etal_2003","Hein_etal_2012","Kear_2005","mean",0.0109980796846468,"single","single","db","2003","2005","2012"
"10","Upupa_epops",1.4101,5000,12560000,0.067,"Aves","Upupiformes","Invertivore","air","air","air","air_land","Botsch_etal_2012","Hein_Gillooly_2011","Tamburello_etal_2015","mean",1.99949297834936,"single","db","db","2012","2015","2011"
"11","Chordeiles_minor",0.0501,11000,108.16,0.062,"Aves","Caprimulgiformes","Invertivore","air","air","air","air","Brigham_etal_2011","Hein_Gillooly_2011","Armstrong_1965","mean",0.00586757166889667,"single","db","db","2011","1965","2011"
"12","Acrocephalus_scirpaceus",11.0001,6000,15700,0.011,"Aves","Passeriformes","Invertivore","air","air","air","air","Bulyuk_et_al_2000","Hein_etal_2012","Andueza_etal_2014","mean",0.0706927521962861,"single","single","db","2000","2014","2012"
"13","Asio_flammeus",326.9001,4722,408.04,0.315,"Aves","Strigiformes","Carnivore","air","air","air","air","Calladine_et_al_2012","Johnson_etal_2017","Armstrong_1965","mean",0.0113966295876647,"single","db","single","2012","1965","2017"
"14","Setophaga_petechia",0.1196,3740,1699.68,0.0095,"Aves","Passeriformes","Invertivore","air","air","air","air","Cilimburg_et_al_2002","Horton_2018","Schoener_1968","median",0.0232599429781946,"single","db","db","2002","1968","2018"
"15","Cervus_nippon",1.6001,100,851490.88,29.45032,"Mammalia","Artiodactyla","Herbivore","land","land","land","land","Davidson_1979","Hein_etal_2012","Tamburello_etal_2015","mean",0.520613066585286,"single","db","db","1979","2015","2012"
"16","Dicrostonyx_groenlandicus",20.0001,5.4,2000,0.054,"Mammalia","Rodentia","Herbivore","land","land","land","land","Ehrich_etal_2001","Hein_etal_2012","Mace_Harvey_1983","max?",0.0252313252202016,"single","db","db","2001","1983","2012"
"17","Lemmus_lemmus",20.0001,32,8560,0.1,"Mammalia","Rodentia","Herbivore","land","land","land","land","Ehrich_Stenseth_2001","Hein_etal_2012","Banks_etal_1975","mean",0.0521989715007226,"single","single","db","2001","1975","2012"
"18","Dolichonyx_oryzivorus",1.5221,8057,7450,0.042,"Aves","Passeriformes","Omnivore","","air","air","air_land","Fajardo_etal_2009","LaSorte_etal_2013","Renfrew_etal_2015","mean",0.0486971113318772,"single","single","db","2009","2015","2013"
"19","Turdus_migratorius",40.0001,6400,1214.06,0.077,"Aves","Passeriformes","Invertivore","air","air","air","air","Farner_1945","Hein_Gillooly_2011","Schoener_1968","mean",0.0196582629044454,"single","db","db","1945","1968","2011"
"20","Ovibos_moschatus",5.0001,320,25500000,480,"Mammalia","Artiodactyla","Herbivore","land","land","land","land","Forchhammer_1995","Hein_etal_2012","Reynolds_1992","mean",2.8490177426065,"single","single","db","1995","1992","2012"
"21","Anaxyrus_americanus",0.6861,0.45273,687.95,0.06,"Amphibia","Anura","Invertivore","land","land","land","land","Forester_etal_2006","Trochet_etal_2014","Trochet_etal_2014_2014","mean",0.014798016292738,"single","db","db","2006","2014","2014"
"22","Anas_crecca",0.5001,5000,747500,0.35,"Aves","Anseriformes","Herbivore","","air","air","air_land_aquatic","Fox_1986","Hein_Gillooly_2011","Legagneux_etal_2009","mean",0.487787494635096,"single","single","db","1986","2009","2011"
"23","Connochaetes_taurinus",170.0001,400,20000,140,"Mammalia","Artiodactyla","Herbivore","land","land","land","land","Georgiadis_1995","Hein_etal_2012","Grant_etal_1992","mean",0.0797884560802865,"single","single","db","1995","1992","2012"
"24","Sturnella_neglecta",0.5001,877.5,30351.4,0.089,"Aves","Passeriformes","Invertivore","air","air","air","air","Giovanni_2009","Horton_2018","Schoener_1968","max (up to)",0.0982911526004182,"single","db","db","2009","1968","2018"
"25","Crocuta_crocuta",10.0001,80,2.5e+07,59,"Mammalia","Carnivora","Carnivore","land","land","land","land","Hofer_East_1995","Hein_etal_2012","Gittleman_Harvey_1982","mean",2.82094791773878,"single","db","db","1995","1982","2012"
"26","Scapanus_townsendii",0.8561,0,1000,0.142,NA,NA,"Invertivore","land","land","","land","Jenkins_et_al_2007","IUCN","Harestad_ Bunnel_1979","max",0.0178412411615277,"db","db","db","2007","1979","IUCN"
"27","Heterodon_platirhinos",0.2441,0.3,516375,0.14732,"Reptilia","Squamata","Carnivore","land","land","land","land","Jenkins_et_al_2007","Vanek_Wasco_2017","Tamburello_etal_2015","max",0.405422332239055,"db","db","single","2007","2015","2017"
"28","Desmognathus_fuscus",0.0401,0.0171,48.4,0.0045,"Amphibia","Caudata","Invertivore","","land_aquatic","land_aquatic","land_aquatic","Jenkins_et_al_2007","Ashton_1975","Barbour_etal_1969","max",0.0039250730555361,"db","single","single","2007","1969","1975"
"29","Dryocopus_pileatus",32.0001,0,2630000,0.287,"Aves","Piciformes","Invertivore","air","air","","air","Jenkins_et_al_2007","IUCN","Bowman_2003","max",0.914961748196814,"db","db","db","2007","2003","IUCN"
"30","Toxostoma_curvirostre",30.0001,0,20000,0.08054,"Aves","Passeriformes","Invertivore","air","air","","air","Jenkins_et_al_2007","IUCN","Bowman_2003","max",0.0797884560802865,"db","db","db","2007","2003","IUCN"
"31","Elanus_leucurus",160.0001,0,78000,0.325,"Aves","Accipitriformes","Carnivore","air","air","","air","Jenkins_et_al_2007","Bildstein_2004","Bowman_2003","max",0.157569575497098,"db","db","single","2007","2003","2004"
"32","Bubo_virginianus",1305.0001,0,4800000,1.51,"Aves","Strigiformes","Carnivore","air","air","","air","Jenkins_et_al_2007","Fristoe_et_al_2017","Makarieva_etal_2005","max",1.23607744647421,"db","db","db","2007","2005","2017"
"33","Cryptobranchus_alleganiensis",0.9901,0,110,0.571,"Amphibia","Caudata","Invertivore","water","aquatic",NA,"aquatic","Jenkins_et_al_2007","Bodinof_etal_2012","Hillis_Bellis_1971","max",0.0059172702727032,"db","single","single","2007","1971","2012"
"34","Sylvilagus_bachmani",0.3521,0,2800,0.695,"Mammalia","Lagomorpha","Herbivore","land","land","land","land","Jenkins_et_al_2007","Chapman_1974","Harestad_ Bunnel_1979","max",0.0298541066072092,"db","db","single","2007","1979","1974"
"35","Dendragapus_obscurus",11.0001,4.5,16996.8,1.05,"Aves","Galliformes","Herbivore","land","land","land","land","Jenkins_et_al_2007","Cade_Hoffman_1993","Schoener_1968","max",0.0735543980567352,"db","db","single","2007","1968","1993"
"36","Strix_occidentalis",87.4001,31,1.4e+07,0.637,"Aves","Strigiformes","Carnivore","air","air","air","air","Jenkins_et_al_2007","Laymon_1989","Makarieva_etal_2005","max",2.11100412282238,"db","db","single","2007","2005","1989"
"37","Chrysemys_picta",0.6211,0.06,31500,0.3545,"Reptilia","Testudines","Carnivore","land","land_aquatic","land_aquatic","aquatic","Jenkins_et_al_2007","Congdon_Gatten_1989","Tamburello_etal_2015","max",0.100133717671868,"db","db","single","2007","2015","1989"
"38","Mus_musculus",1.5001,0.01,800,0.014,"Mammalia","Rodentia","Omnivore","land","land","land","land","Jenkins_et_al_2007","Sidorov_2010","Mace_Harvey_1983","max",0.0159576912160573,"db","db","single","2007","1983","2010"
"39","Castor_canadensis",40.6001,0,32374.9,20.25,"Mammalia","Rodentia","Herbivore","","land_aquatic","","land_aquatic","Jenkins_et_al_2007","Lancia_etal_1982","McNab_1963","max",0.101514780865703,"db","db","single","2007","1963","1982"
"40","Canis_latrans",232.0001,35.8,6190000,14.06,"Mammalia","Carnivora","Omnivore","land","land","land","land","Jenkins_et_al_2007","Gantz_Knowlton_2005","Swihart_etal_1988","max",1.40368735674211,"db","db","single","2007","1988","2005"
"41","Emydoidea_blandingii",1.1151,1.3,33000,1.294,"Reptilia","Testudines","Carnivore","land","land_aquatic","land","land_aquatic","Jenkins_et_al_2007","Congdon_etal_2011","Tamburello_etal_2015","max",0.102490127544389,"db","db","single","2007","2015","2011"
"42","Meles_meles",8.3001,0,870000,13,"Mammalia","Carnivora","Omnivore","land","land","","land","Jenkins_et_al_2007","IUCN","Gittleman_Harvey_1982","max",0.526241010355424,"db","db","db","2007","1982","IUCN"
"43","Larus_delawarensis",700.0001,1563,1.5e+08,0.57,"Aves","Charadriiformes","Omnivore","air","air","air","air","Jenkins_et_al_2007","Gabrey_1996","Clark_etal_2016","max",6.90988298942671,"db","single","single","2007","2016","1996"
"44","Varanus_varius",1.8001,0,558000,0.5651,"Reptilia","Squamata","Carnivore","land","land","","land","Jenkins_et_al_2007","Guarino_2002","Perry_Garland_2002","max",0.421446220164038,"db","db","single","2007","2002","2002"
"45","Urile_pelagicus",150.0001,920,3.14e+08,1.562,"Aves","Pelecaniformes","Carnivore","","air","air","air_marine","Jenkins_et_al_2007","Hatch_et_al_2011","Hatch_et_al_2011","max",9.99746489174682,"db","single","single","2007","2011","2011"
"46","Apus_apus",111.0001,12000,9.33e+09,0.04,"Aves","Apodiformes","Invertivore","air","air","air","air","Jenkins_et_al_2007","Hein_etal_2012","ADW","max",54.4961580122376,"db","db","db","2007","ADW","2012"
"47","Bucephala_clangula",6.0001,3000,110000,0.92,"Aves","Anseriformes","Carnivore","","air","air","aquatic","Jenkins_et_al_2007","Hein_etal_2012","Bowman_2003","max",0.187120515925478,"db","db","db","2007","2003","2012"
"48","Ficedula_hypoleuca",56.0001,7000,14000,0.016,"Aves","Passeriformes","Invertivore","air","air","air","air","Jenkins_et_al_2007","Hein_etal_2012","Bowman_2003","max",0.0667558117812455,"db","db","db","2007","2003","2012"
"49","Chroicocephalus_ridibundus",189.5001,4000,1.08e+09,0.28,"Aves","Charadriiformes","Carnivore","air","air","air","air","Jenkins_et_al_2007","Hein_etal_2012","Gorke_Brandl_1986","max",18.5411616971131,"db","single","db","2007","1986","2012"
"50","Larus_fuscus",202.0001,6500,1.61e+08,0.8,"Aves","Charadriiformes","Carnivore","air","air","air","air","Jenkins_et_al_2007","Hein_etal_2012","Thaxter_etal_2015","max",7.15876327835963,"db","single","db","2007","2015","2012"
"51","Sylvia_communis",52.4001,9000,2000,0.018,"Aves","Passeriformes","Invertivore","air","air","air","air","Jenkins_et_al_2007","Hein_etal_2012","Halupka_etal_2002","max",0.0252313252202016,"db","single","db","2007","2002","2012"
"52","Carcharodon_carcharias",1450.0001,11000,7855000,550,"Chondrichthyes","Lamniformes","Carnivore","water","marine","marine","marine","Jenkins_et_al_2007","Hein_etal_2012","Jewell_et_al_2014","max",1.58124133388097,"db","single","db","2007","2014","2012"
"53","Canis_lupus",886.0001,500,62500000,37,"Mammalia","Carnivora","Carnivore","land","land","land","land","Jenkins_et_al_2007","Hein_etal_2012","Lindstedt_etal_1986","max",4.46031029038193,"db","db","db","2007","1986","2012"
"54","Tursiops_truncatus",1000.0001,1100,51300000,140,"Mammalia","Artiodactyla","Carnivore","water","marine","marine","marine","Jenkins_et_al_2007","Hein_etal_2012","Gubbins_2002","max",4.04095250667815,"db","single","db","2007","2002","2012"
"55","Isurus_oxyrinchus",4543.0001,2400,1.04e+09,58,"Chondrichthyes","Lamniformes","Carnivore","water","marine","marine","marine","Jenkins_et_al_2007","Hein_etal_2012","Rogers_etal_2015","max",18.1945673658689,"db","single","db","2007","2015","2012"
