"","scientific_name.x","dispersal_km","Migration_km","mean.hra.m2","Mass_kg","class","order","diet_broadest_cat","media_simplified","media_dispersal","media_migration","media_foraging","hr.radius"
"1","Scapanus_townsendii",0.8561,0,1000,0.142,"Mammalia","Eulipotyphla","Invertivore","land","land","","land",0.0178412411615277
"2","Sitta_carolinensis",1.0001,0,376.36,0.0201,"Aves","Passeriformes","Omnivore","air","air","","air",0.0109452779208265
"3","Ictidomys_tridecemlineatus",0.2287,0,6600,0.193,"Mammalia","Rodentia","Omnivore","land","land","","land",0.0458349784423754
"4","Tamiasciurus_douglasii",0.6001,0,11000,0.254,"Mammalia","Rodentia","Omnivore","land","land","","land",0.059172702727032
"5","Glaucomys_sabrinus",0.4301,0,79000.53,0.14884,"Mammalia","Rodentia","Herbivore","land","land","","land",0.158576952022541
"6","Heterodon_platirhinos",0.2441,0.3,516375,0.14732,"Reptilia","Squamata","Carnivore","land","land","land","land",0.405422332239055
"7","Pantherophis_obsoletus",0.8111,0.49,250000,0.6428,"Reptilia","Squamata","Carnivore","land","land","land","land",0.282094791773878
"8","Desmognathus_fuscus",0.0401,0.0171,48.4,0.0045,"Amphibia","Caudata","Invertivore","","land_aquatic","land_aquatic","land_aquatic",0.0039250730555361
"9","Dryocopus_pileatus",32.0001,0,2630000,0.287,"Aves","Piciformes","Invertivore","air","air","","air",0.914961748196814
"10","Toxostoma_curvirostre",30.0001,0,20000,0.08054,"Aves","Passeriformes","Invertivore","air","air","","air",0.0797884560802865
"11","Tamias_striatus",0.2201,0,1100,0.085,"Mammalia","Rodentia","Omnivore","land","land","","land",0.0187120515925478
"12","Tamias_quadrivittatus",7.1901,0,67300,0.058,"Mammalia","Rodentia","Omnivore","land","land","","land",0.146363435803376
"13","Thomomys_talpoides",0.7901,0,200,0.14,"Mammalia","Rodentia","Herbivore","land","land","","land",0.00797884560802865
"14","Pecari_tajacu",0.2501,0,1350000,23.814,"Mammalia","Artiodactyla","Herbivore","land","land","","land",0.655529058355247
"15","Elanus_leucurus",160.0001,0,78000,0.325,"Aves","Accipitriformes","Carnivore","air","air","","air",0.157569575497098
"16","Bubo_virginianus",1305.0001,0,4800000,1.51,"Aves","Strigiformes","Carnivore","air","air","","air",1.23607744647421
"17","Parkesia_motacilla",4.0001,2540,20000,0.02,"Aves","Passeriformes","Invertivore","air","air","air","air_land",0.0797884560802865
"18","Cryptobranchus_alleganiensis",0.9901,0,110,0.571,"Amphibia","Caudata","Invertivore","water","water","water","water",0.0059172702727032
"19","Sylvilagus_bachmani",0.3521,0,2800,0.695,"Mammalia","Lagomorpha","Herbivore","land","land","land","land",0.0298541066072092
"20","Tamias_minimus",3.0201,0,21000,0.045,"Mammalia","Rodentia","Omnivore","land","land","land","land",0.0817588381146626
"21","Blarina_brevicauda",7.7101,0,3520.765,0.018,"Mammalia","Eulipotyphla","Omnivore","land","land","land","land",0.0334767726405918
"22","Dendragapus_obscurus",11.0001,4.5,16996.8,1.05,"Aves","Galliformes","Herbivore","land","land","land","land",0.0735543980567352
"23","Strix_occidentalis",87.4001,31,1.4e+07,0.637,"Aves","Strigiformes","Carnivore","air","air","air","air",2.11100412282238
"24","Chrysemys_picta",0.6211,0.06,31500,0.3545,"Reptilia","Testudines","Carnivore","land","land_aquatic","land_aquatic","aquatic",0.100133717671868
"25","Ursus_arctos",36.6001,0,53100000,204.12,"Mammalia","Carnivora","Omnivore","land","land","","land",4.11123521053701
"26","Sylvilagus_palustris",0.5601,0,39600.44,1.34999,"Mammalia","Lagomorpha","Herbivore","land","land","","land_aquatic",0.112272933288607
"27","Vulpes_rueppellii",32.0001,0,30399749.15,3.24997,"Mammalia","Carnivora","Carnivore","land","land","","land",3.11071385568526
"28","Hylobates_lar",0.6201,0,386666.667,5.64,"Mammalia","Primates","Omnivore","land","land","","land",0.350827340388168
"29","Didelphis_marsupialis",4.3001,0,598800,2.724,"Mammalia","Didelphimorphia","Omnivore","land","land","","",0.436582134136125
"30","Panthera_pardus",9.8301,0,21080000,52.4,"Mammalia","Carnivora","Carnivore","land","land","","land",2.59036144210693
"31","Panthera_tigris",101.3001,0,69690000,161,"Mammalia","Carnivora","Carnivore","land","land","","land",4.70988492090288
"32","Microtus_pinetorum",1.5501,0,5800,0.023,"Mammalia","Rodentia","Herbivore","land","land","","land",0.0429673985699156
"33","Mus_musculus",1.5001,0.01,800,0.014,"Mammalia","Rodentia","Omnivore","land","land","land","land",0.0159576912160573
"34","Castor_canadensis",40.6001,0,32374.9,20.25,"Mammalia","Rodentia","Herbivore","","land_aquatic","","land_aquatic",0.101514780865703
"35","Didelphis_virginiana",4.7261,0,109062.78,3.63,"Mammalia","Didelphimorphia","Omnivore","land","land","","land",0.186321660277832
"36","Glaucomys_volans",0.4301,0,16187.4,0.0645,"Mammalia","Rodentia","Herbivore","land","land","","land",0.0717816790804694
"37","Canis_latrans",232.0001,35.8,6190000,14.06,"Mammalia","Carnivora","Omnivore","land","land","land","land",1.40368735674211
"38","Cynomys_ludovicianus",2.3551,0,13300,1.1,"Mammalia","Rodentia","Herbivore","land","land","","land",0.0650655168752575
"39","Emydoidea_blandingii",1.1151,1.3,33000,1.294,"Reptilia","Testudines","Carnivore","land","land_aquatic","land","land_aquatic",0.102490127544389
"40","Lycaon_pictus",29.8501,0,1.75e+09,22,"Mammalia","Carnivora","Carnivore","land","land","","land",23.6017435970657
"41","Aepyceros_melampus",1.2001,24.14,9e+05,63.50384,"Mammalia","Artiodactyla","Herbivore","land","land","land","land",0.535237234845831
"42","Lontra_canadensis",200.0001,0,9430000,6.225,"Mammalia","Carnivora","Carnivore","","land_aquatic_marine","","land_aquatic_marine",1.73253058464004
"43","Sciurus_aberti",10.1301,0,130888.05,0.7938,"Mammalia","Rodentia","Herbivore","land","land","","land",0.204115066318776
"44","Meles_meles",8.3001,0,870000,13,"Mammalia","Carnivora","Omnivore","land","land","","land",0.526241010355424
"45","Larus_delawarensis",700.0001,1563,1.5e+08,0.57,"Aves","Charadriiformes","Omnivore","air","air","air","air",6.90988298942671
"46","Mustela_frenata",23.5101,0,1112900,0.165,"Mammalia","Carnivora","Carnivore","land","land","","land",0.595186586150881
"47","Varanus_varius",1.8001,0,558000,0.5651,"Reptilia","Squamata","Carnivore","land","land","","land",0.421446220164038
"48","Scalopus_aquaticus",6.0501,0,7428.65,0.1035,"Mammalia","Eulipotyphla","Carnivore","land","land","","land",0.0486272838640944
"49","Urile_pelagicus",150.0001,920,3.14e+08,1.562,"Aves","Pelecaniformes","Carnivore","","air","air","air_marine",9.99746489174682
"50","Apus_apus",111.0001,12000,9.33e+09,0.04,"Aves","Apodiformes","Invertivore","air","air","air","air",54.4961580122376
"51","Lemmus_lemmus",20.0001,32,8560,0.1,"Mammalia","Rodentia","Herbivore","land","land","land","land",0.0521989715007226
"52","Bucephala_clangula",6.0001,3000,110000,0.92,"Aves","Anseriformes","Carnivore","","air","air","aquatic",0.187120515925478
"53","Ficedula_hypoleuca",56.0001,7000,14000,0.016,"Aves","Passeriformes","Invertivore","air","air","air","air",0.0667558117812455
"54","Acinonyx_jubatus",20.0001,40,1.61e+08,50,"Mammalia","Carnivora","Carnivore","land","land","land","land",7.15876327835963
"55","Phylloscopus_trochilus",20.8001,15000,2800,0.0087,"Aves","Passeriformes","Invertivore","air","air","air","air",0.0298541066072092
"56","Chroicocephalus_ridibundus",189.5001,4000,1.08e+09,0.28,"Aves","Charadriiformes","Carnivore","air","air","air","air",18.5411616971131
"57","Larus_fuscus",202.0001,6500,1.61e+08,0.8,"Aves","Charadriiformes","Carnivore","air","air","air","air",7.15876327835963
"58","Connochaetes_taurinus",170.0001,400,20000,140,"Mammalia","Artiodactyla","Herbivore","land","land","land","land",0.0797884560802865
"59","Sylvia_communis",52.4001,9000,2000,0.018,"Aves","Passeriformes","Invertivore","air","air","air","air",0.0252313252202016
"60","Carcharodon_carcharias",1450.0001,11000,7855000,550,"Chondrichthyes","Lamniformes","Carnivore","water","marine","marine","marine",1.58124133388097
"61","Aythya_fuligula",0.2281,4500,380,0.66,"Aves","Anseriformes","Omnivore","","air","air","land_aquatic",0.0109980796846468
"62","Canis_lupus",886.0001,500,62500000,37,"Mammalia","Carnivora","Carnivore","land","land","land","land",4.46031029038193
"63","Vulpes_vulpes",18.1688778,65,11663333.33,4.1,"Mammalia","Carnivora","Omnivore","land","land","land","land",1.92679897882366
"64","Dicrostonyx_groenlandicus",20.0001,5.4,2000,0.054,"Mammalia","Rodentia","Herbivore","land","land","land","land",0.0252313252202016
"65","Sturnus_vulgaris",9.5001,1000,777000,0.082,"Aves","Passeriformes","Omnivore","air","air","air","air",0.497319597004588
"66","Crocuta_crocuta",10.0001,80,2.5e+07,59,"Mammalia","Carnivora","Carnivore","land","land","land","land",2.82094791773878
"67","Equus_zebra",120.0001,100,9400000,240,"Mammalia","Perissodactyla","Herbivore","land","land","land","land",1.7297725082009
"68","Peromyscus_leucopus",0.1841,15,590,0.021,"Mammalia","Rodentia","Omnivore","land","land","land","land",0.0137041173684567
"69","Tursiops_truncatus",1000.0001,1100,51300000,140,"Mammalia","Artiodactyla","Carnivore","water","marine","marine","marine",4.04095250667815
"70","Capreolus_pygargus",120.0001,500,1e+06,40,"Mammalia","Artiodactyla","Herbivore","land","land","land","land",0.564189583547756
"71","Ovibos_moschatus",5.0001,320,25500000,480,"Mammalia","Artiodactyla","Herbivore","land","land","land","land",2.8490177426065
"72","Lemmus_sibiricus",0.2501,5.4,18080,0.09214,"Mammalia","Rodentia","Herbivore","land","land","land","land",0.0758619980108811
"73","Isurus_oxyrinchus",4543.0001,2400,1.04e+09,58,"Chondrichthyes","Lamniformes","Carnivore","water","marine","marine","marine",18.1945673658689
