"scientific_name","class","order"
"Sitta carolinensis","Aves","Passeriformes"
"Ictidomys tridecemlineatus","Mammalia","Rodentia"
"Tamiasciurus douglasii","Mammalia","Rodentia"
"Glaucomys sabrinus","Mammalia","Rodentia"
"Heterodon platirhinos","Lepidosauria","Squamata"
"Pantherophis obsoletus","Lepidosauria","Squamata"
"Desmognathus fuscus","Amphibia","Caudata"
"Dryocopus pileatus","Aves","Piciformes"
"Toxostoma curvirostre","Aves","Passeriformes"
"Tamias striatus","Mammalia","Rodentia"
"Tamias quadrivittatus","Mammalia","Rodentia"
"Thomomys talpoides","Mammalia","Rodentia"
"Pecari tajacu","Mammalia","Artiodactyla"
"Elanus leucurus","Aves","Accipitriformes"
"Bubo virginianus","Aves","Strigiformes"
"Parkesia motacilla","Aves","Passeriformes"
"Cryptobranchus alleganiensis","Amphibia","Caudata"
"Sylvilagus bachmani","Mammalia","Lagomorpha"
"Tamias minimus","Mammalia","Rodentia"
"Blarina brevicauda","Mammalia","Eulipotyphla"
"Dendragapus obscurus","Aves","Galliformes"
"Strix occidentalis","Aves","Strigiformes"
"Ursus arctos","Mammalia","Carnivora"
"Sylvilagus palustris","Mammalia","Lagomorpha"
"Vulpes rueppellii","Mammalia","Carnivora"
"Hylobates lar","Mammalia","Primates"
"Didelphis marsupialis","Mammalia","Didelphimorphia"
"Panthera pardus","Mammalia","Carnivora"
"Panthera tigris","Mammalia","Carnivora"
"Microtus pinetorum","Mammalia","Rodentia"
"Mus musculus","Mammalia","Rodentia"
"Castor canadensis","Mammalia","Rodentia"
"Didelphis virginiana","Mammalia","Didelphimorphia"
"Glaucomys volans","Mammalia","Rodentia"
"Canis latrans","Mammalia","Carnivora"
"Cynomys ludovicianus","Mammalia","Rodentia"
"Lycaon pictus","Mammalia","Carnivora"
"Aepyceros melampus","Mammalia","Artiodactyla"
"Lontra canadensis","Mammalia","Carnivora"
"Sciurus aberti","Mammalia","Rodentia"
"Meles meles","Mammalia","Carnivora"
"Larus delawarensis","Aves","Charadriiformes"
"Mustela frenata","Mammalia","Carnivora"
"Macropus rufogriseus","Mammalia","Diprotodontia"
"Varanus varius","Lepidosauria","Squamata"
"Scalopus aquaticus","Mammalia","Eulipotyphla"
"Urile pelagicus","Aves","Pelecaniformes"
"Apus apus","Aves","Apodiformes"
"Lemmus lemmus","Mammalia","Rodentia"
"Bucephala clangula","Aves","Anseriformes"
"Ficedula hypoleuca","Aves","Passeriformes"
"Acinonyx jubatus","Mammalia","Carnivora"
"Phylloscopus trochilus","Aves","Passeriformes"
"Chroicocephalus ridibundus","Aves","Charadriiformes"
"Larus fuscus","Aves","Charadriiformes"
"Connochaetes taurinus","Mammalia","Artiodactyla"
"Sylvia communis","Aves","Passeriformes"
"Cervus canadensis","Mammalia","Artiodactyla"
"Carcharodon carcharias","Chondrichthyes","Lamniformes"
"Aythya fuligula","Aves","Anseriformes"
"Canis lupus","Mammalia","Carnivora"
"Vulpes vulpes","Mammalia","Carnivora"
"Dicrostonyx groenlandicus","Mammalia","Rodentia"
"Schistocerca gregaria","Insecta","Orthoptera"
"Sturnus vulgaris","Aves","Passeriformes"
"Crocuta crocuta","Mammalia","Carnivora"
"Equus zebra","Mammalia","Perissodactyla"
"Peromyscus leucopus","Mammalia","Rodentia"
"Tursiops truncatus","Mammalia","Artiodactyla"
"Capreolus pygargus","Mammalia","Artiodactyla"
"Ovibos moschatus","Mammalia","Artiodactyla"
"Lemmus sibiricus","Mammalia","Rodentia"
"Isurus oxyrinchus","Chondrichthyes","Lamniformes"
"Setophaga kirtlandii","Aves","Passeriformes"
"Ursus americanus","Mammalia","Carnivora"
"Acrocephalus scirpaceus","Aves","Passeriformes"
"Alces alces","Mammalia","Artiodactyla"
