A/P,group,Scientific Name,Body Mass (g),Max. Indiv. Dispersal Distance (m),logmass,logdist
A,Amphib,Rhyacotritdon cascade,2.45E+00,6.09E+00,0.388,0.784617293
A,Amphib,Eleutherodactylus coqui,5.80E+00,6.68E+00,0.764,0.824776462
A,Amphib,Plethodon vehiculum,2.10E+00,8.50E+00,0.321,0.929418926
A,Amphib,Leiopelma hochstetteri,1.43E+00,1.27E+01,0.155,1.102090526
A,Amphib,Plethodon kentucki,7.90E+00,1.40E+01,0.898,1.144574208
A,Amphib,Atelopus varius,3.88E+00,2.00E+01,0.588,1.301029996
A,Amphib,Dendrobates pumilio,3.81E+00,2.00E+01,0.581,1.301029996
A,Amphib,Aneides vagrans,3.27E+00,2.03E+01,0.515,1.307496038
A,Amphib,Desmognathus quadromaculatus,1.18E+01,2.50E+01,1.073,1.397940009
A,Amphib,Salamandra atra aurorae,1.27E+01,3.00E+01,1.104,1.477121255
A,Amphib,Salamandra salamandra,7.97E+01,3.00E+01,1.901,1.477121255
A,Amphib,Eleutherodactylus fitzingeri,1.33E+00,3.50E+01,0.123,1.544068044
A,Amphib,Desmognathus fuscus,2.84E+00,4.00E+01,0.453,1.602059991
A,Amphib,Phyllomedusa bicolor,9.44E-02,4.66E+01,-1.025,1.668385917
A,Amphib,Necturus beyeri,2.99E+01,6.50E+01,1.476,1.812913357
A,Amphib,Dicamptodon tenebrosus,6.77E+01,6.63E+01,1.83,1.821185883
A,Amphib,Hynobius nebulosus tokyoensis,2.31E+01,9.00E+01,1.364,1.954242509
A,Amphib,Plethodon cinereus,2.35E+00,9.00E+01,0.372,1.954242509
A,Amphib,Plethodon glutinosus,1.57E+01,9.15E+01,1.196,1.961421094
A,Amphib,Aneides aeneus,4.01E+00,1.06E+02,0.604,2.025305865
A,Amphib,Hyla versicolor,6.27E+00,1.25E+02,0.797,2.096910013
A,Amphib,Ambystoma texanum,1.13E+01,1.25E+02,1.051,2.096910013
A,Amphib,Ensatina eschscholtzii platensis,4.15E+00,1.50E+02,0.618,2.177247836
A,Amphib,Triturus vulgaris,3.39E+00,1.82E+02,0.53,2.260071388
A,Amphib,Mixophes fleayi,7.30E+01,1.97E+02,1.863,2.29380436
A,Amphib,Pseudacris triseriata,1.79E+00,2.13E+02,0.252,2.328379603
A,Amphib,Necturus maculosus,1.94E+02,2.56E+02,2.287,2.408239965
A,Amphib,Bufo japonicus formosus,2.51E+01,2.60E+02,1.399,2.414973348
A,Amphib,Mixophyes iteratus,9.44E-02,2.68E+02,-1.025,2.428134794
A,Amphib,Amphiuma tridactylum,4.52E+03,2.97E+02,3.655,2.472756449
A,Amphib,Triturus carnifex,1.96E+01,2.99E+02,1.292,2.475671188
A,Amphib,Rana dalmatina,4.11E+01,3.00E+02,1.613,2.477121255
A,Amphib,Plethodon jordani,4.43E+00,3.00E+02,0.646,2.477121255
A,Amphib,Bombina variegata,2.50E-03,3.13E+02,-2.602,2.495266744
A,Amphib,Bufo hemiophrys,3.13E+01,3.42E+02,1.496,2.534026106
A,Amphib,Ascaphus truei,5.14E+00,3.60E+02,0.711,2.556302501
A,Amphib,Syrrhophus marnocki,2.28E+00,3.80E+02,0.359,2.580229091
A,Amphib,Ambystoma laterale ,3.05E+00,4.05E+02,0.484,2.607455023
A,Amphib,Eurycea bislineata,2.01E+00,4.20E+02,0.304,2.62324929
A,Amphib,Bufo baxteri,1.94E+01,4.24E+02,1.288,2.627160952
A,Amphib,Rana temporaria,2.85E+01,4.60E+02,1.455,2.662757832
A,Amphib,Heleioporus australiacus,6.40E+01,4.63E+02,1.806,2.665580991
A,Amphib,Gyrinophilus porphyriticus,1.68E+01,4.90E+02,1.225,2.69019608
A,Amphib,Pelobates fuscus,5.06E+01,5.00E+02,1.704,2.698970004
A,Amphib,Triturus alpestris,1.93E+00,5.00E+02,0.286,2.698970004
A,Amphib,Ambystoma tigrinum,1.13E+02,6.00E+02,2.052,2.77815125
A,Amphib,Eurycea quadridigitata,8.58E-01,6.00E+02,-0.066,2.77815125
A,Amphib,Gastrophryne olivacea,2.47E+00,6.10E+02,0.393,2.785044958
A,Amphib,Ambystoma californiense,2.66E+01,6.70E+02,1.425,2.826074803
A,Amphib,Pseudacris maculata,1.79E+00,6.86E+02,0.252,2.836197481
A,Amphib,Notophthalmus perstriatus ,5.91E-01,7.09E+02,-0.228,2.850646235
A,Amphib,Ambystoma maculatum,3.54E+01,7.56E+02,1.549,2.878521796
A,Amphib,Bufo valliceps,7.28E+01,8.00E+02,1.862,2.903089987
A,Amphib,Physalaemus pustulosus,1.33E+00,8.20E+02,0.123,2.913813852
A,Amphib,Scaphious holbrooki,2.05E+01,8.25E+02,1.311,2.916453949
A,Amphib,Bufo punctatus,1.33E+01,9.00E+02,1.125,2.954242509
