scientific_name.x,collapsed_name,dispersal_km,dispersal_checked,source_dispersal,dispersal_type,dispersal.original.value,dispersal.original.units,Migration_km,migration_checked,Migration_source,migration.original.value,migration.original.units,mean.hra.m2,home_range_checked,source_hra,hra.original.value,hra.original.unit,Mass_kg,Mass_source,mass checked,number_traits_completed,person,diet - fine scale,diet_broadest_cat,diet source,media_air_water_land,media_simplified,medium source_notes,media_dispersal,media_migration,media_foraging,geographic_range_km2,geographic unit source,IUCN
Ammodramus savannarum,ammodramussavannarum,0.346,MG,Anthony_etal_2013,mean,346,m,1343.9,CF,Horton_2018,1343.9,km,10900,CJL,Mace_Harvey_1983,1.09,ha,0.0167,Mace_Harvey_1983,sds,4,CF,Omnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,air,air,11500000,IUCN (estimated extent of occurrence),
Cardellina canadensis,cardellinacanadensis,0.5,DM - changed value,Ball_etal_2016,max? (up to),500,m,5217.1,CF alternative name: Wilsonia canadensis,Horton_2018,5217.1,km,10117.1,SDS,Schoener_1968,2.5,acres,0.0093,Schoener_1968,sds,4,SDS,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,air,air,5080000,IUCN (estimated extent of occurrence),
Falcipennis canadensis,falcipenniscanadensis,1.73,MG,Barrowclough_Schroeder_2016,mean,The mean distance dispersed by females (2.33 km) was twice that of males (1.13 km),,3.98,CJL - changed value,Herzog_Keppie_1980,mean of distances in Table 2,km,227000,CJL - values was 118289.61 from an unfindable citation,Lycke_et_al_2011,22.7,ha,0.456,Zammuto_1986,sds,4,SDS,Herbivore,Herbivore,Pigot_etal_2020,,land,Turcotte_2000,land,land,land,11000000,IUCN (estimated extent of occurrence),
Saxicola rubetra,saxicolarubetra,0.5,MG,Bastian_1992,mean,500,m,6000,MG,Moller_etal_2004,12,in multiple of 500 km,7300,DM,Tamburello_etal_2015,7300,m2,0.01648,Tamburello_etal_2015,yes,4,SDS,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,flying - air ,air,Tamburello_etal_2015,air,air,air,17000000,IUCN (estimated extent of occurrence),
Megascops asio,megascopsasio,2.3,MG,Belthoff_Ritchison_1989,median,2.3,km (natal dispersal),0,CF,IUCN,not a migrant',NA,485100,MG,Belthoff_etal_1993,48.5,ha,0.2021,Smith_Wiemeyer_1992,sds,4,SDS,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,,air,8220000,IUCN (estimated extent of occurrence),
Setophaga kirtlandii,setophagakirtlandii,2.2,CJL - changed value,Berger_Radabaugh_1968,mean,weighted average of return distances on pages 172 & 174,yards and miles,1900,CJL,Hein_etal_2012,1900,km,33993.6,SDS,Schoener_1968,8.4,acres,0.014,Schoener_1968,sds,4,MG,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,,air,inferred,air,air,air,237000,IUCN (estimated extent of occurrence),
Spiza americana,spizaamericana,0.1125,DM,Berkley_etal_2007,mean,112.5,m,3533.9,CF,Horton_2018,3533.9,km,8900,CJL,Mace_Harvey_1983,0.89,ha,0.035,Mace_Harvey_1983,sds,4,CF,Omnivore/Omnivore,Omnivore,Pigot_etal_2020,,air,inferred,air,air,air,3930000,IUCN (estimated extent of occurrence),
Pantherophis obsoletus,pantherophisobsoletus,0.811,MG,Blouin-Demers_Weatherhead_2002,mean,811,m,0.49,SDS - changed source,Blouin-Demers_Weatherhead_2002,,,250000,SDS,Ward_etal_2013,25,ha,0.6428,Tamburello_etal_2015,sds,4,CF,Carnivore,Carnivore,EOL,,land,inferred,land,land,land,,,
Aythya fuligula,aythyafuligula,0.228,CF,Blums_etal_2003,mean,228,m (average dispersal distance in mark recapture study),4500,CJL,Hein_etal_2012,4500,km,380,SDS,Kear_2005,,,0.66,Hein_etal_2012,yes,4,PT,Omnivore/Herbivore aquatic,Omnivore,Pigot_etal_2020,,,Kear_2005,air,air,land_aquatic,34900000,IUCN (estimated extent of occurrence),
Upupa epops,upupaepops,1.41,CJL - changed value,Botsch_etal_2012,mean,"1.41 - weighted average of 118 females, 115 males",km,5000,CJL,Hein_Gillooly_2011,5000,km,12560000,DM,Tamburello_etal_2015,12560000,m2,0.067,Tamburello_etal_2015,yes,4,SDS,Carnivore/Invertivore,Invertivore,Pigot_etal_2020,flying - air,air,Tamburello_etal_i_naturalist,air,air,air_land,97000000,IUCN (estimated extent of occurrence),
