scientific_name.x,collapsed_name,dispersal_km,dispersal_checked,source_dispersal,dispersal.original.value,dispersal.original.units,Migration_km,migration_checked,Migration_source,migration.original.value,migration.original.units,mean.hra.m2,home_range_checked,source_hra,hra.original.value,hra.original.unit,Mass_kg,Mass_source,mass checked,number_traits_completed,person,diet,diet_broadest_cat,diet source,media_air_water_land,media_simplified,medium source_notes,media_dispersal,media_migration,media_foraging,geographic_range_km2,geographic unit source,IUCN
Scapanus townsendii,scapanustownsendii,0.856,DM,Jenkins_et_al_2007,856,m,0,MG,IUCN,non-migrant,,1000,CJL,Harestad and Bunnel 1979,0.1,ha,0.142,Harestad_ Bunnel_1979,sds,4,CF,Invertivore/Insectivore,Invertivore,EOL,,,inferred,land,,land,170206,IUCN (estimated extent of occurrence),
Sitta carolinensis,sittacarolinensis,1,DM,Prugh_etal_2008,1,km,0,MG,IUCN,non-migrant,,376.36,DM,Armstrong_1965,19.4,ha,0.0201,Armstrong_1965,yes,4,CF,Omnivore,Omnivore,Pigot_etal_2020,,,inferred,air,,air,14900000,IUCN (estimated extent of occurrence),
Ictidomys tridecemlineatus,ictidomystridecemlineatus,0.2286,DM,Whitmee_Orme_2013,228.6,linear m,0,SDS - changed source,Streubel_Fitzgerald_1978,non-migrant,,6600,CJL,Harestad and Bunnel 1979,0.66,ha,0.193,Harestad_ Bunnel_1979,sds,4,CF,Omnivore/Invertivore/Granivore/Frugivore,Omnivore,EOL,,,inferred,land,,land,5320810,IUCN (estimated extent of occurrence),
Tamiasciurus douglasii,tamiasciurusdouglasii,0.6,DM,Prugh_etal_2008,0.6,km,0,SDS - changed source,Sullivan_Sullivan_1982,non-migrant,,11000,CJL,Harestad and Bunnel 1979,1.1,ha,0.254,Harestad_ Bunnel_1979,sds,4,CF,Omnivore/Herbivore,Omnivore,EOL,,,inferred,land,,land,875382,IUCN (estimated extent of occurrence),
Glaucomys sabrinus,glaucomyssabrinus,0.43,DM,Prugh_etal_2008,0.43,km,0,SDS - changed source,Smith_2007,non-migrant,,79000.53,DM,Tamburello_etal,79000.53,m2,0.14884,Tamburello_etal_2015,yes,4,CF,Herbivore,Herbivore,Tamburello_etal,walking - land,land,Tamburello_etal,land,,land,16558135,IUCN (estimated extent of occurrence),
Heterodon platirhinos,heterodonplatirhinos,0.244,DM,Jenkins_et_al_2007,244,m,0.3,SDS - changed source,Vanek_Wasco_2017,300,m,516375,DM,Tamburello_etal,516375,m2,0.14732,Tamburello_etal_2015,yes,4,CF,Carnivore,Carnivore,Tamburello_etal,crawling - land,land,Tamburello_etal,land,land,land,,,
Pantherophis obsoletus,pantherophisobsoletus,0.811,MG,Blouin-Demers_Weatherhead_2002,811,m,0.49,SDS - changed source,Blouin-Demers_Weatherhead_2002,,,250000,SDS,Ward_etal_2013,25,ha,0.6428,Tamburello_etal_2015,sds,4,CF,Carnivore,Carnivore,EOL,,,inferred,land,land,land,,,
Desmognathus fuscus,desmognathusfuscus,0.04,DM,Jenkins_et_al_2007,40,m,0.0171,SDS,Ashton 1975,17.1,m,48.4,SDS,Barbour_1965,48.4,m^2,0.0045,Gatz_Piiper_1979,sds,4,PLT,Carnivore,Carnivore,EOL,,,Grant_2010/ personal communication with salamander expert,land_aquatic,land_aquatic,land_aquatic,,,
Dryocopus pileatus,dryocopuspileatus,32,DM,Jenkins_et_al_2007,32000,m,0,MG,IUCN,non-migrant,,2630000,SDS,Bowman_2003,263,ha,0.287,Best_etal_1996,sds,4,CJL,Carnivore/Invertivore,Carnivore,Pigot_etal_2020,,,inferred,air,,air,13400000,IUCN (estimated extent of occurrence),
Toxostoma curvirostre,toxostomacurvirostre,30,DM,Jenkins_et_al_2007,30000,m,0,MG,IUCN,non-migrant,,20000,SDS,Bowman_2003,2,ha,0.08054,Sibly_etal_2012,sds,4,CJL,Omnivore/Invertivore,Omnivore,Pigot_etal_2020,,,inferred,air,,air,2860000,IUCN (estimated extent of occurrence),
