"","scientific_name.x","collapsed_name","dispersal_km","dispersal_checked","source_dispersal","dispersal.original.value","dispersal.original.units","Migration_km","migration_checked","Migration_source","migration.original.value","migration.original.units","mean.hra.m2","home_range_checked","source_hra","hra.original.value","hra.original.unit","Mass_kg","Mass_source","mass.checked","number_traits_completed","person","diet","diet.source","media..air..water..land.","medium.source","geographic.range..km2.","geographic.unit.source","IUCN","mean.hra.km2","hr.radius","class","scientific_name"
"1","Scapanus townsendii","scapanustownsendii",0.856,"DM","Jenkins_et_al_2007","856","m",0,"MG"," Encyclopedia of Puget Sound","non-migrant","",1000,"CJL","Harestad and Bunnel 1979","0.1","ha",0.142,"Harestad and Bunnel 1979","sds",4,"CF","Invertivore/Insectivore","EOL","","","170206","IUCN (estimated extent of occurrence)",NA,0.001,0.0178412411615277,"MAMMALIA","Scapanus townsendii"
"2","Sitta carolinensis","sittacarolinensis",1,"DM","Prugh_etal","1","km",0,"MG","IUCN","non-migrant","",376.36,"DM","Armstrong_1965","19.4","ha",0.0201,"Armstrong_1965","yes",4,"CF","Omnivore","Pigot_etal_2020","","","14900000","IUCN (estimated extent of occurrence)",NA,0.00037636,0.0109452779208265,"AVES","Sitta carolinensis"
"3","Ictidomys tridecemlineatus","ictidomystridecemlineatus",0.2286,"DM","Whitmee and Ormee 2012","228.6","linear m",0,"SDS - changed source","Streubel_Fitzgerald_1978","non-migrant","",6600,"CJL","Harestad and Bunnel 1979","0.66","ha",0.193,"Harestad and Bunnel 1979","sds",4,"CF","Omnivore/Invertivore/Granivore/Frugivore","EOL","","","5320810","IUCN (estimated extent of occurrence)",NA,0.0066,0.0458349784423754,"MAMMALIA","Ictidomys tridecemlineatus"
"4","Tamiasciurus douglasii","tamiasciurusdouglasii",0.6,"DM","Prugh_etal","0.6","km",0,"SDS - changed source","Sullivan_Sullivan_1982","non-migrant","",11000,"CJL","Harestad and Bunnel 1979","1.1","ha",0.254,"Harestad and Bunnel 1979","sds",4,"CF","Omnivore/Herbivore","EOL","","","875382","IUCN (estimated extent of occurrence)",NA,0.011,0.059172702727032,"MAMMALIA","Tamiasciurus douglasii"
"5","Glaucomys sabrinus","glaucomyssabrinus",0.43,"DM","Prugh_etal","0.43","km",0,"SDS - changed source","Smith_2007","non-migrant","",79000.53,"DM","Tamburello_etal","79000.53","m2",0.14884,"Tamburello_etal","yes",4,"CF","Herbivore","Tamburello_etal","walking - land","Tamburello_etal","16558135","IUCN (estimated extent of occurrence)",NA,0.07900053,0.158576952022541,"MAMMALIA","Glaucomys sabrinus"
"6","Heterodon platirhinos","heterodonplatirhinos",0.244,"DM","Jenkins_et_al_2007","244","m",0.3,"SDS - changed source","Vanek_Wasco_2017","300","m",516375,"DM","Tamburello_etal","516375","m2",0.14732,"Tamburello_etal","yes",4,"CF","Carnivore","Tamburello_etal","crawling - land","Tamburello_etal","","",NA,0.516375,0.405422332239055,"REPTILIA","Heterodon platirhinos"
"7","Pantherophis obsoletus","pantherophisobsoletus",0.811,"MG","Blouin-Demers_Weatherhead_2002","811","m",0.49,"SDS - changed source","Blouin-Demers_Weatherhead_2002","","",250000,"SDS","Ward_etal_2013","25","ha",0.6428,"Tamburello_etal","sds",4,"CF","Carnivore","EOL","","","","",NA,0.25,0.282094791773878,"REPTILIA","Pantherophis obsoletus"
"8","Desmognathus fuscus","desmognathusfuscus",0.04,"DM","Jenkins_et_al_2007","40","m",0.0171,"SDS","Ashton 1975","17.1","m",48.4,"SDS","Barbour_1965","48.4","m^2",0.00592,"","",4,"PLT","Carnivore","EOL","","","","",NA,4.84e-05,0.0039250730555361,"AMPHIBIA","Desmognathus fuscus"
"9","Dryocopus pileatus","dryocopuspileatus",32,"DM","Jenkins_et_al_2007","32000","m",0,"MG","IUCN","non-migrant","",2630000,"SDS","Bowman_2003","263","ha",0.287,"Bestetal_1996","",4,"CJL","Carnivore/Invertivore","Pigot_etal_2020","","","13400000","IUCN (estimated extent of occurrence)",NA,2.63,0.914961748196814,"NA","Dryocopus pileatus"
"10","Toxostoma curvirostre","toxostomacurvirostre",30,"DM","Jenkins_et_al_2007","30000","m",0,"MG","IUCN","non-migrant","",20000,"SDS","Bowman_2003","2","ha",0.08065,"EOL","",4,"CJL","Omnivore/Invertivore","Pigot_etal_2020","","","2860000","IUCN (estimated extent of occurrence)",NA,0.02,0.0797884560802865,"AVES","Toxostoma curvirostre"
"11","Tamias striatus","tamiasstriatus",0.22,"DM","Prugh_etal","0.22","km",0,"SDS - changed source","Lavesque_Tattersall_2010","non-migrant","",1100,"CJL","Harestad and Bunnel 1979","0.11","ha",0.085,"Harestad and Bunnel 1979","sds",4,"CF","Omnivore/Frugivore/Granivore","EOL","running","Hirt_etal","5605677","IUCN (estimated extent of occurrence)",NA,0.0011,0.0187120515925478,"MAMMALIA","Tamias striatus"
"12","Tamias quadrivittatus","tamiasquadrivittatus",7.19,"DM","Prugh_etal","7.19","km",0,"SDS - changed source","Howell_1929","non-migrant","",67300,"CJL - value was 68300","Swithart_etal_1988","6.73","ha",0.058,"Swithart_etal_1988","",4,"CF","Omnivore/Herbivore","EOL","","","355265","IUCN (estimated extent of occurrence)",NA,0.0673,0.146363435803376,"NA","Tamias quadrivittatus"
"13","Thomomys talpoides","thomomystalpoides",0.79,"DM","Prugh_etal","0.79","km",0,"MG","BEAUVAIS_2005","non-migrant","",200,"CJL","Harestad and Bunnel 1979","0.02","ha",0.14,"Harestad and Bunnel 1979","sds",4,"CF","Herbivore/Browser","EOL","","","3626522","IUCN (estimated extent of occurrence)",NA,2e-04,0.00797884560802865,"MAMMALIA","Thomomys talpoides"
"14","Pecari tajacu","pecaritajacu",0.25,"MG","Oldenburg_et_al_1985","Mode separation distance is 200-299 m","",0,"MG","Bigler_1974","Pecaries did not move seasonally to track any other species","",1350000,"CJL","Harestad and Bunnel 1979","135.21","ha",23.814,"Harestad and Bunnel 1979","sds",4,"","Omnivore/Herbivore","EOL","running","Hirt_etal","","",NA,1.35,0.655529058355247,"MAMMALIA","Pecari tajacu"
"15","Elanus leucurus","elanusleucurus",160,"DM","Jenkins_et_al_2007","160000","m",0,"MG","Bildstein_2004","All range falls in tropics","",78000,"SDS","Bowman_2003","7.8","ha",0.346,"EOL","",4,"CF","Carnivore/Vertivore","Pigot_etal_2020","","","42700000","IUCN (estimated extent of occurrence)",NA,0.078,0.157569575497098,"AVES","Elanus leucurus"
"16","Bubo virginianus","bubovirginianus",1305,"DM","Jenkins_et_al_2007","1305000","m",0,"MG","Fristoe_et_al_2017","","",4800000,"DM","makarieva_etal_2005","480","ha",1.51,"Tamburello_etal","sds",4,"CJL","Carnivore/Vertivore","Pigot_etal_2020","flying - air","Tamburello_etal","65900000","IUCN (estimated extent of occurrence)",NA,4.8,1.23607744647421,"AVES","Bubo virginianus"
"17","Parkesia motacilla","parkesiamotacilla",4,"DM","Prugh_etal","4","km",2540,"SDS - was 2500","LaSorta_etal_2013","km","",20000,"SDS","Bowman_2003","2","ha",0.02,"Bestetal_1996","",4,"CJL","Carnivore/Invertivore","Pigot_etal_2020","","","3520000","IUCN (estimated extent of occurrence)",NA,0.02,0.0797884560802865,"AVES","Parkesia motacilla"
"18","Cryptobranchus alleganiensis","cryptobranchusalleganiensis",0.99,"DM","Jenkins_et_al_2007","990","m",0,"MG","Bodinof et al. 2012","Hellbender movements indicated a short period of exploration followed by more permanent settlement and high site fidelity typical of wild conspecifics","",110,"SDS","Hillis&Bellis_1971","10","m",0.571,"Humphries_Pauley_2005","",4,"PLT","Carnivore","EOL","","","","",NA,0.00011,0.0059172702727032,"AMPHIBIA","Cryptobranchus alleganiensis"
"19","Sylvilagus bachmani","sylvilagusbachmani",0.352,"DM","Jenkins_et_al_2007","352","m",0,"SDS","Chapman_1974","","",2800,"CJL","Harestad and Bunnel 1979","0.28","ha",0.695,"Harestad and Bunnel 1979","sds",4,"CF","Herbivore/Browser/Grazer","EOL","","","809968","IUCN (estimated extent of occurrence)",NA,0.0028,0.0298541066072092,"MAMMALIA","Sylvilagus bachmani"
"20","Tamias minimus","tamiasminimus",3.02,"DM","Prugh_etal","3.02","km",0,"SDS","Verts_Carraway_2001","","",21000,"CJL","Swithart_etal_1988","2.1","ha",0.045,"Swithart_etal_1988","",4,"CF","Omnivore/Frugivore/Granivore","EOL","running","Hirt_etal","9004167","IUCN (estimated extent of occurrence)",NA,0.021,0.0817588381146626,"NA","Tamias minimus"
